기간	자치구	구분	합계	합계	합계	합계	합계	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	조직형태별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별	사업체구분별
기간	자치구	구분	합계	합계	합계	합계	합계	개인	개인	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체	단독	단독	본사본점 등	본사본점 등	공장지사(점)영업소	공장지사(점)영업소
기간	자치구	구분	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	구분	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2018	종로구	공공행정 국방 및 사회보장 행정	89	9	15,658	9,819	5,839	-	-	-	-	89	15,658	-	-	88	15,649	-	-	1	9
2018	종로구	교육 서비스업	850	353	13,504	6,187	7,317	490	1,591	175	2,694	140	8,956	45	263	726	6,199	31	3,026	93	4,279
2018	종로구	보건업 및 사회복지 서비스업	744	269	15,888	5,203	10,685	566	3,540	6	50	95	11,217	77	1,081	679	5,112	17	9,878	48	898
2018	종로구	예술 스포츠 및 여가관련 서비스업	909	276	6,227	3,244	2,983	642	1,585	137	1,282	103	3,250	27	110	829	4,394	19	933	61	900
2018	종로구	협회 및 단체 수리 및 기타 개인 서비스업	2,448	707	7,672	3,992	3,680	1,406	2,495	23	223	505	3,135	514	1,819	2,264	5,713	74	1,160	110	799
2018	중구	합계	60,957	22,669	390,530	210,755	179,775	49,191	117,266	9,977	219,186	1,131	50,248	658	3,830	56,480	216,806	1,297	122,504	3,180	51,220
2018	중구	광업	2	-	3	2	1	-	-	2	3	-	-	-	-	2	3	-	-	-	-
2018	중구	제조업	9,369	1,966	29,402	19,038	10,364	8,504	23,316	839	5,881	24	199	2	6	9,201	27,661	83	1,204	85	537
2018	중구	전기 가스 증기 및 공기조절 공급업	6	1	724	590	134	1	3	2	8	3	713	-	-	3	11	-	-	3	713
2018	중구	수도 하수 및 폐기물 처리 원료 재생업	10	-	369	293	76	1	1	8	172	1	196	-	-	10	369	-	-	-	-
2018	중구	건설업	390	35	4,896	4,083	813	218	621	171	4,252	1	23	-	-	351	2,520	19	1,482	20	894
2018	중구	도매 및 소매업	31,547	14,473	98,606	47,243	51,363	27,906	55,059	3,601	43,321	35	189	5	37	29,918	66,818	404	20,477	1,225	11,311
2018	중구	운수 및 창고업	1,547	165	14,316	9,871	4,445	877	1,782	631	11,828	36	687	3	19	1,305	5,129	128	6,734	114	2,453
2018	중구	숙박 및 음식점업	6,050	3,007	33,032	13,558	19,474	5,187	18,220	839	14,328	20	446	4	38	5,380	21,899	61	4,023	609	7,110
2018	중구	정보통신업	914	166	25,013	17,088	7,925	354	909	527	23,391	27	646	6	67	813	10,880	54	12,911	47	1,222
2018	중구	금융 및 보험업	1,217	194	50,108	27,050	23,058	280	601	823	42,727	107	6,686	7	94	675	8,283	91	31,482	451	10,343
2018	중구	부동산업	1,694	382	9,169	6,051	3,118	1,012	2,035	544	6,018	40	381	98	735	1,543	5,859	54	1,491	97	1,819
2018	중구	전문 과학 및 기술 서비스업	2,752	500	36,078	22,019	14,059	1,749	5,057	809	26,973	170	3,761	24	287	2,437	14,563	185	17,744	130	3,771
2018	중구	사업시설 관리 사업 지원 및 임대 서비스업	1,483	357	39,020	19,769	19,251	502	1,133	940	37,273	22	529	19	85	1,225	16,470	114	18,117	144	4,433
2018	중구	공공행정 국방 및 사회보장 행정	62	8	19,280	11,666	7,614	-	-	-	-	62	19,280	-	-	60	18,712	1	448	1	120
2018	중구	교육 서비스업	471	227	8,321	3,867	4,454	246	694	101	1,039	97	6,399	27	189	374	2,994	22	2,995	75	2,332
2018	중구	보건업 및 사회복지 서비스업	747	225	10,104	2,658	7,446	592	4,056	7	88	74	4,992	74	968	693	6,323	15	1,638	39	2,143
2018	중구	예술 스포츠 및 여가관련 서비스업	558	196	3,723	1,912	1,811	430	1,023	71	1,097	43	1,572	14	31	499	2,561	13	91	46	1,071
2018	중구	협회 및 단체 수리 및 기타 개인 서비스업	2,138	767	8,366	3,997	4,369	1,332	2,756	62	787	369	3,549	375	1,274	1,991	5,751	53	1,667	94	948
2018	용산구	합계	20,813	7,153	141,216	76,498	64,718	15,054	36,582	4,652	78,517	623	21,608	484	4,509	18,951	77,992	538	41,340	1,324	21,884
2018	용산구	제조업	964	245	3,181	1,859	1,322	838	2,356	120	761	5	45	1	19	935	2,930	20	191	9	60
2018	용산구	전기 가스 증기 및 공기조절 공급업	4	-	43	26	17	1	1	3	42	-	-	-	-	3	6	1	37	-	-
2018	용산구	수도 하수 및 폐기물 처리 원료 재생업	10	1	150	120	30	2	8	7	139	1	3	-	-	9	113	-	-	1	37
2018	용산구	건설업	421	74	7,591	6,265	1,326	239	517	176	6,653	6	421	-	-	390	2,533	19	4,159	12	899
2018	용산구	도매 및 소매업	7,248	2,293	31,093	19,235	11,858	4,901	9,424	2,317	21,347	26	309	4	13	6,628	19,790	188	7,168	432	4,135
2018	용산구	운수 및 창고업	1,251	65	3,918	3,195	723	1,136	1,354	88	1,441	26	1,088	1	35	1,189	2,008	16	439	46	1,471
2018	용산구	숙박 및 음식점업	4,603	2,225	19,474	9,180	10,294	4,011	12,593	576	6,803	12	57	4	21	4,189	14,681	66	611	348	4,182
2018	용산구	정보통신업	484	99	9,750	6,019	3,731	169	385	295	8,690	19	673	1	2	438	3,818	21	4,290	25	1,642
2018	용산구	금융 및 보험업	266	38	5,085	2,044	3,041	33	58	186	3,936	47	1,091	-	-	89	580	21	1,780	156	2,725
2018	용산구	부동산업	1,139	414	3,807	2,550	1,257	853	1,349	156	1,339	18	69	112	1,050	1,097	3,139	18	350	24	318
2018	용산구	전문 과학 및 기술 서비스업	833	167	15,387	8,627	6,760	433	1,099	332	10,837	62	3,442	6	9	719	5,107	71	9,846	43	434
2018	용산구	사업시설 관리 사업 지원 및 임대 서비스업	365	91	15,708	6,666	9,042	134	971	219	14,308	6	199	6	230	287	4,792	30	9,079	48	1,837
2018	용산구	공공행정 국방 및 사회보장 행정	47	6	3,149	2,130	1,019	-	-	-	-	47	3,149	-	-	45	3,090	1	37	1	22
2018	용산구	교육 서비스업	550	323	7,452	2,478	4,974	366	977	72	802	93	5,372	19	301	474	4,129	17	2,213	59	1,110
2018	용산구	보건업 및 사회복지 서비스업	579	247	6,658	1,492	5,166	421	2,331	6	83	59	2,514	93	1,730	542	4,498	11	95	26	2,065
2018	용산구	예술 스포츠 및 여가관련 서비스업	408	154	2,831	1,462	1,369	333	766	41	552	24	1,479	10	34	383	2,207	5	316	20	308
2018	용산구	협회 및 단체 수리 및 기타 개인 서비스업	1,641	711	5,939	3,150	2,789	1,184	2,393	58	784	172	1,697	227	1,065	1,534	4,571	33	729	74	639
2018	성동구	합계	27,868	8,432	174,819	100,694	74,125	19,928	51,622	6,686	95,970	615	22,978	639	4,249	25,813	115,486	720	31,824	1,335	27,509
2018	성동구	농업 임업 및 어업	1	-	3	3	-	-	-	1	3	-	-	-	-	1	3	-	-	-	-
2018	성동구	제조업	4,444	897	27,062	17,022	10,040	3,342	12,172	1,084	14,756	17	125	1	9	4,168	20,779	157	4,596	119	1,687
2018	성동구	전기 가스 증기 및 공기조절 공급업	13	-	421	366	55	1	1	10	337	2	83	-	-	9	25	-	-	4	396
2018	성동구	수도 하수 및 폐기물 처리 원료 재생업	31	4	782	646	136	2	6	17	294	12	482	-	-	26	709	1	19	4	54
2018	성동구	건설업	666	104	5,790	4,795	995	332	891	333	4,896	1	3	-	-	614	4,470	21	755	31	565
2018	성동구	도매 및 소매업	7,385	2,252	31,602	18,736	12,866	4,859	10,954	2,508	20,547	17	100	1	1	6,792	22,118	244	5,894	349	3,590
2018	성동구	운수 및 창고업	2,629	140	8,653	7,521	1,132	2,457	3,064	134	3,424	35	2,153	3	12	2,557	5,415	20	650	52	2,588
2018	성동구	숙박 및 음식점업	3,836	2,041	12,442	5,057	7,385	3,587	10,371	239	2,032	6	21	4	18	3,664	10,978	11	89	161	1,375
2018	성동구	정보통신업	860	100	10,725	7,656	3,069	178	451	670	10,141	12	133	-	-	775	8,629	48	1,152	37	944
2018	성동구	금융 및 보험업	314	46	4,131	1,826	2,305	72	179	194	3,500	48	452	-	-	151	618	15	1,038	148	2,475
2018	성동구	부동산업	1,371	463	5,520	3,125	2,395	933	1,562	236	2,529	18	78	184	1,351	1,313	4,402	20	741	38	377
2018	성동구	전문 과학 및 기술 서비스업	1,447	247	14,631	9,355	5,276	653	1,916	706	10,971	82	1,725	6	19	1,226	8,010	109	5,069	112	1,552
2018	성동구	사업시설 관리 사업 지원 및 임대 서비스업	419	101	18,907	9,226	9,681	164	453	241	17,526	9	903	5	25	345	6,380	29	10,578	45	1,949
2018	성동구	공공행정 국방 및 사회보장 행정	47	4	4,471	3,062	1,409	-	-	-	-	47	4,471	-	-	47	4,471	-	-	-	-
2018	성동구	교육 서비스업	961	552	11,371	4,540	6,831	714	1,894	100	1,422	112	7,678	35	377	879	5,729	10	315	72	5,327
